cdp	depth	vel
15.0	22.8	1287.2329295071097
15.0	23.8	1292.6280889946313
15.0	24.8	1304.188798352696
15.0	25.8	1277.8266665730566
15.0	26.8	1285.4392692711424
15.0	27.8	1226.222784553526
15.0	28.8	1155.1904333602001
15.0	29.8	1114.962072217591
16.0	1.8	388.1580380990911
16.0	2.8	424.9160861591181
16.0	3.8	551.4997093342714
16.0	4.8	625.5996735885345
16.0	5.8	698.4220480591752
16.0	6.8	830.0224977949886
16.0	7.8	928.3218644369445
16.0	8.8	1137.855208404722
16.0	9.8	1430.9260769347677
16.0	10.8	1540.6665129971595
16.0	11.8	1675.4048013671052
16.0	12.8	1768.0667830721213
16.0	13.8	1793.1324607746574
16.0	14.8	1828.5731254454201
16.0	15.8	1687.229008630424
16.0	16.8	1561.1798960853248
16.0	17.8	1486.6098414033745
16.0	18.8	1467.7181034320924
16.0	19.8	1479.2815921700308
16.0	20.8	1373.407417204272
16.0	21.8	1302.1866053646522
16.0	22.8	1287.2329295071097
16.0	23.8	1292.6280889946313
16.0	24.8	1304.188798352696
16.0	25.8	1277.8266665730566
16.0	26.8	1285.4392692711424
16.0	27.8	1226.222784553526
16.0	28.8	1155.1904333602001
16.0	29.8	1114.962072217591
17.0	1.8	388.1580380990911
17.0	2.8	424.9160861591181
17.0	3.8	551.4997093342714
17.0	4.8	625.5996735885345
17.0	5.8	698.4220480591752
17.0	6.8	830.0224977949886
17.0	7.8	928.3218644369445
17.0	8.8	1137.855208404722
17.0	9.8	1430.9260769347677
17.0	10.8	1540.6665129971595
17.0	11.8	1675.4048013671052
17.0	12.8	1768.0667830721213
17.0	13.8	1793.1324607746574
17.0	14.8	1828.5731254454201
17.0	15.8	1687.229008630424
17.0	16.8	1561.1798960853248
17.0	17.8	1486.6098414033745
17.0	18.8	1467.7181034320924
17.0	19.8	1479.2815921700308
17.0	20.8	1373.407417204272
17.0	21.8	1302.1866053646522
17.0	22.8	1287.2329295071097
17.0	23.8	1292.6280889946313
17.0	24.8	1304.188798352696
17.0	25.8	1277.8266665730566
17.0	26.8	1285.4392692711424
17.0	27.8	1226.222784553526
17.0	28.8	1155.1904333602001
17.0	29.8	1114.962072217591
18.0	1.8	388.1580380990911
